Genes	NATMI	CelltalkDB	Merge_Index
FGFR3	R	R	R
TLR4	R	R	R
ACVR2A	R	R	R
ACVRL1	R	R	R
BMPR1A	R	R	R
BMPR1B	R	R	R
BMPR2	R	R	R
ENG	R	R	R
ACVR2B	R	R	R
HJV	R	R	R
CFC1	R	L	LR
TGFBR1	R	R	R
TGFBR2	R	R	R
SLC16A1	R	NA	R
SLC16A7	R	NA	R
LILRA4	R	R	R
ERBB2	R	R	R
ERBB4	R	R	R
CD79A	R	R	R
VTCN1	R	R	R
CD33	R	R	R
CD93	R	R	R
CSPG4	R	R	R
C3AR1	R	R	R
C5AR2	R	R	R
CD19	R	R	R
CD46	R	R	R
CR1	R	R	R
CR2	R	R	R
ITGAM	R	R	R
ITGAX	R	R	R
CD40	R	R	R
C5AR1	R	R	R
SCARF1	R	R	R
TSHR	R	R	R
CCKAR	R	R	R
CCKBR	R	R	R
CCR8	R	R	R
ACKR2	R	R	R
ACKR4	R	R	R
CCR2	R	R	R
CCR3	R	R	R
CCR5	R	R	R
CXCR3	R	R	R
CCR1	R	R	R
HRH4	R	R	R
ACKR1	R	R	R
CCR4	R	R	R
PITPNM3	R	NA	R
CCR10	R	R	R
CCR7	R	R	R
CCRL2	R	R	R
CCR6	R	R	R
CCR9	R	R	R
GPR75	R	R	R
SDC1	R	R	R
FGFR2	R	R	R
IGF2R	R	R	R
LRP6	R	R	R
NTRK1	R	R	R
CD200R1L	R	NA	R
SELP	R	R	R
PDCD1	R	R	R
SELL	R	R	R
SIGLEC10	R	R	R
CD5	R	R	R
CD27	R	R	R
CTLA4	R	R	R
PILRA	R	R	R
PILRB	R	NA	R
IGF1R	R	R	R
ITGAE	R	R	R
KLRG1	R	R	R
HAVCR2	R	R	R
CD8A	R	NA	R
CXCR4	R	R	R
NCR1	R	NA	R
LHCGR	R	R	R
ITGA2	R	R	R
TREM1	R	NA	R
CNTFR	R	R	R
IL6ST	R	R	R
LIFR	R	R	R
ITGA10	R	R	R
ITGA11	R	R	R
KLRF2	R	R	R
LAG3	R	NA	R
IL6R	R	R	R
NOTCH2	R	R	R
CNTNAP2	R	R	R
NRCAM	R	R	R
PTPRG	R	R	R
DDR1	R	R	R
GPC4	R	R	R
KDR	R	R	R
PTPRS	R	R	R
CD36	R	R	R
DDR2	R	R	R
GP6	R	R	R
MAG	R	R	R
TNFRSF10A	R	R	R
ITGA1	R	R	R
ITGB8	R	R	R
GHSR	R	R	R
SSTR1	R	R	R
SSTR2	R	R	R
SSTR3	R	R	R
SSTR4	R	R	R
SSTR5	R	R	R
SLC40A1	R	R	R
CRHR1	R	R	R
CRHR2	R	R	R
CSF1R	R	R	R
CSF2RA	R	R	R
CSF2RB	R	R	R
CSF3R	R	R	R
IL3RA	R	R	R
PRLR	R	R	R
FZD3	R	R	R
FZD5	R	R	R
FZD6	R	R	R
ROR2	R	R	R
CX3CR1	R	R	R
CXCR1	R	R	R
CXCR2	R	R	R
ACKR3	R	R	R
CD4	R	R	R
CXCR5	R	R	R
CXCR6	R	R	R
GPR35	R	R	R
XCR1	R	R	R
LAMA4	R	L	LR
MET	R	R	R
BOC	R	R	R
CDON	R	R	R
HHIP	R	R	R
PTCH1	R	R	R
PTCH2	R	R	R
KREMEN1	R	R	R
KREMEN2	R	R	R
NOTCH3	R	R	R
NOTCH4	R	R	R
PRTG	R	NA	R
DSG3	R	R	R
DSG4	R	NA	R
ITGB6	R	R	R
IL27RA	R	R	R
ITGB4	R	R	R
EDA2R	R	R	R
EDAR	R	R	R
EDNRA	R	R	R
EDNRB	R	R	R
KEL	R	R	R
EPHA1	R	R	R
EPHA2	R	R	R
EPHA5	R	R	R
EPHA6	R	R	R
EPHA8	R	R	R
EPHB1	R	R	R
EPHB4	R	R	R
GRM1	R	R	R
GRM5	R	R	R
RHBDL2	R	R	R
GPR19	R	NA	R
CRLF3	R	NA	R
EPOR	R	R	R
F3	R	R	R
GP1BA	R	R	R
F2R	R	R	R
F2RL1	R	R	R
F2RL2	R	R	R
F2RL3	R	R	R
GP9	R	R	R
ITGA2B	R	R	R
THBD	R	R	R
ASGR2	R	R	R
FAS	R	R	R
TNFRSF6B	R	R	R
DCHS1	R	R	R
FGFR4	R	R	R
FGFRL1	R	R	R
SCN5A	R	R	R
SCN8A	R	R	R
KLB	R	R	R
KL	R	R	R
FLT3	R	R	R
COL13A1	R	R	R
ITGA8	R	R	R
NT5E	R	R	R
PLAUR	R	R	R
TNFRSF11B	R	R	R
FSHR	R	R	R
DIP2A	R	NA	R
CKAP4	R	NA	R
GALR1	R	R	R
GALR2	R	R	R
GALR3	R	R	R
GPR151	R	R	R
AXL	R	R	R
MERTK	R	R	R
TYRO3	R	R	R
GCGR	R	R	R
GLP1R	R	R	R
GLP2R	R	R	R
ACVR1B	R	R	R
GFRAL	R	R	R
GFRA2	R	R	R
GHR	R	R	R
GHRHR	R	R	R
GPR39	R	R	R
MLNR	R	R	R
DPP4	R	R	R
GIPR	R	R	R
ADCY1	R	R	R
ADORA1	R	R	R
ADRA2A	R	R	R
ADRA2B	R	R	R
CNR1	R	R	R
LPAR3	R	R	R
OPRD1	R	R	R
OPRM1	R	R	R
P2RY12	R	R	R
TBXA2R	R	R	R
ADRB2	R	R	R
PTGDR	R	R	R
GNRHR	R	R	R
CD81	R	R	R
AMFR	R	R	R
TNFRSF1A	R	R	R
TNFRSF1B	R	R	R
BRS3	R	R	R
GRPR	R	R	R
NMBR	R	R	R
GUCY2C	R	R	R
GUCY2D	R	R	R
HMMR	R	R	R
CD300LB	R	NA	R
CD82	R	R	R
HCRTR1	R	R	R
HCRTR2	R	R	R
NPFFR2	R	R	R
ST14	R	R	R
TMIGD2	R	NA	R
APLP2	R	R	R
KIR3DL1	R	R	R
KIR3DL2	R	R	R
CANX	R	R	R
KIR2DL3	R	R	R
KLRD1	R	R	R
KIR2DL1	R	R	R
KIR2DS4	R	NA	R
LILRA3	R	NA	R
KLRC1	R	R	R
